City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salinopolis,BR,81.1,overcast clouds,-0.6136,-47.3561,
1,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,
3,Port Macquarie,AU,75.16,overcast clouds,-31.4333,152.9167,
14,Kapaa,US,80.92,light rain,22.0752,-159.319,
24,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
26,Hithadhoo,MV,81.84,broken clouds,-0.6,73.0833,
27,Hilo,US,76.28,light rain,19.7297,-155.09,
31,Paraguacu Paulista,BR,78.04,clear sky,-22.4128,-50.5758,
33,Carutapera,BR,80.92,overcast clouds,-1.195,-46.02,
35,Atuona,PF,77.68,clear sky,-9.8,-139.0333,
36,Castro,BR,75.74,clear sky,-24.7911,-50.0119,
38,Auki,SB,78.35,overcast clouds,-8.7676,160.7034,
39,Les Cayes,HT,81.55,overcast clouds,18.2,-73.75,
40,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,
44,Narrabri,AU,82.53,overcast clouds,-30.3167,149.7833,
48,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,
50,Matara,LK,75.81,broken clouds,5.9485,80.5353,
52,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
54,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,
57,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,
59,Taoudenni,ML,78.01,overcast clouds,22.6783,-3.9836,
61,Acarau,BR,81.45,broken clouds,-2.8856,-40.12,
65,Nkhotakota,MW,75.52,moderate rain,-12.9274,34.2961,
78,Jutai,BR,82.08,overcast clouds,-5.1833,-68.9,
80,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,
87,Kavieng,PG,81.72,broken clouds,-2.5744,150.7967,
90,Mackay,AU,85.05,scattered clouds,-21.15,149.2,
92,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,
94,Ewa Beach,US,80.55,light rain,21.3156,-158.0072,
102,Dicabisagan,PH,76.95,overcast clouds,17.0818,122.4157,
104,Bolobo,CD,76.57,overcast clouds,-2.1667,16.2333,
106,Huaquillas,EC,80.49,broken clouds,-3.4833,-80.2333,
112,Celestun,MX,78.96,broken clouds,20.8667,-90.4,
113,Bani,DO,83.64,scattered clouds,18.2833,-70.3333,
115,Dunmore Town,BS,78.37,clear sky,25.5,-76.65,
116,La Asuncion,VE,83.93,broken clouds,11.0333,-63.8628,
120,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
121,Kirakira,SB,81.66,overcast clouds,-10.4544,161.9205,
132,Butaritari,KI,82.18,overcast clouds,3.0707,172.7902,
136,Capitao Poco,BR,80.24,overcast clouds,-1.7464,-47.0594,
140,Faanui,PF,79.81,light rain,-16.4833,-151.75,
150,Poum,NC,79.48,scattered clouds,-20.2333,164.0167,
154,Cuyotenango,GT,86.52,clear sky,14.5333,-91.5667,
160,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,
163,Lamu,KE,80.82,light rain,-2.2717,40.902,
168,Bangui,CF,82.58,broken clouds,4.3612,18.555,
177,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,
178,Amapa,BR,81.86,broken clouds,1.0,-52.0,
180,Trincomalee,LK,80.22,scattered clouds,8.5711,81.2335,
181,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,
186,Salalah,OM,75.29,few clouds,17.0151,54.0924,
189,Labuhan,ID,79.99,moderate rain,-6.8844,112.2051,
190,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,
196,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,
198,Kavaratti,IN,81.21,clear sky,10.5669,72.642,
201,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
202,Namatanai,PG,80.42,light rain,-3.6667,152.4333,
205,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,
207,Cabo San Lucas,MX,78.1,scattered clouds,22.8909,-109.9124,
209,Tulagi,SB,82.33,overcast clouds,-9.0996,160.1476,
218,Sola,VU,83.07,broken clouds,-13.8833,167.55,
223,Pundaguitan,PH,81.61,broken clouds,6.3711,126.1689,
224,Vallenar,CL,80.24,overcast clouds,-28.5708,-70.7581,
228,San Matias,BO,81.9,light rain,-16.3667,-58.4,
229,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,
236,Vavoua,CI,78.28,scattered clouds,7.3819,-6.4778,
237,Pochutla,MX,87.62,broken clouds,15.7432,-96.4661,
238,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,
239,Gunjur,GM,80.67,overcast clouds,13.2019,-16.7339,
241,Nelson Bay,AU,79.0,broken clouds,-32.7167,152.15,
242,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,
243,Mana,GF,79.7,overcast clouds,5.6592,-53.7767,
246,Cabinda,AO,78.46,broken clouds,-5.55,12.2,
247,Beaufort,MY,78.96,overcast clouds,5.3473,115.7455,
256,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,
257,Ugoofaaru,MV,81.32,overcast clouds,5.6667,73.0,
258,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,
261,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,
262,Sinnamary,GF,79.99,broken clouds,5.3833,-52.95,
265,Agramonte,CU,82.83,clear sky,22.6786,-81.1156,
266,Ilheus,BR,82.22,broken clouds,-14.7889,-39.0494,
270,Miri,MY,75.34,light rain,4.4148,114.0089,
272,Corralillo,CU,80.31,clear sky,22.9819,-80.5856,
273,Benjamin Constant,BR,84.25,few clouds,-4.3831,-70.0311,
283,Boca Do Acre,BR,77.92,moderate rain,-8.7522,-67.3978,
284,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,
285,Alice Town,BS,78.12,clear sky,25.7167,-79.3,
286,Mahibadhoo,MV,82.04,overcast clouds,3.7833,72.9667,
287,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,
291,Coxim,BR,85.12,heavy intensity rain,-18.5067,-54.76,
292,Alvorada,BR,78.73,overcast clouds,-12.48,-49.1247,
293,Conakry,GN,84.27,haze,9.538,-13.6773,
294,Bom Jesus,BR,77.79,overcast clouds,-9.0744,-44.3586,
297,Piacabucu,BR,80.26,overcast clouds,-10.4056,-36.4344,
303,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,
312,Dingle,PH,75.04,scattered clouds,10.9995,122.6711,
320,Maridi,SS,75.63,scattered clouds,4.9158,29.4742,
321,Buala,SB,81.86,light rain,-8.145,159.5921,
322,Mayumba,GA,77.99,broken clouds,-3.432,10.6554,
323,Mlandizi,TZ,75.22,scattered clouds,-6.7,38.7333,
326,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,
334,Mitu,CO,81.37,overcast clouds,1.1983,-70.1733,
339,Benguela,AO,75.96,overcast clouds,-12.5763,13.4055,
341,Bontang,ID,76.8,overcast clouds,0.1333,117.5,
343,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,
346,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,
349,Boende,CD,78.84,overcast clouds,-0.2167,20.8667,
353,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,
357,High Rock,BS,78.82,clear sky,26.6208,-78.2833,
359,Christchurch,NZ,78.33,broken clouds,-43.5333,172.6333,
366,Amahai,ID,78.96,overcast clouds,-3.3333,128.9167,
369,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,
370,Himensulan,PH,80.74,overcast clouds,10.5967,124.2821,
371,Gamba,GA,78.12,overcast clouds,-2.65,10.0,
373,Puerto Leguizamo,CO,84.97,overcast clouds,-0.1934,-74.7819,
376,Funadhoo,MV,81.12,overcast clouds,6.15,73.2667,
379,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,
394,Meulaboh,ID,75.81,light rain,4.1363,96.1285,
395,Alta Floresta,BR,78.12,overcast clouds,-9.8756,-56.0861,
404,Buta,CD,75.47,overcast clouds,2.7858,24.73,
410,Bowen,AU,80.51,few clouds,-20.0167,148.2333,
416,Madang,PG,76.19,overcast clouds,-5.2246,145.7966,
418,Ondangwa,,80.6,clear sky,-17.9167,15.95,
420,Obo,CF,80.65,overcast clouds,5.3998,26.4869,
425,San Nicolas,PH,78.94,overcast clouds,18.1725,120.5953,
433,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,
435,Bolitoc,PH,77.36,overcast clouds,15.7395,119.8769,
436,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,
437,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,
444,Imbituba,BR,75.81,clear sky,-28.24,-48.6703,
451,Presidente Epitacio,BR,84.61,clear sky,-21.7633,-52.1156,
459,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,
462,Libenge,CD,83.46,overcast clouds,3.65,18.6333,
463,Santa Isabel Do Rio Negro,BR,81.09,overcast clouds,-0.4139,-65.0192,
465,Lady Lake,US,84.99,broken clouds,28.9175,-81.9229,
468,Coolum Beach,AU,77.34,scattered clouds,-26.5333,153.1,
473,Eyl,SO,77.25,few clouds,7.9803,49.8164,
476,Betare Oya,CM,76.53,few clouds,5.6,14.0833,
478,Necochea,AR,75.04,clear sky,-38.5473,-58.7368,
481,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,
482,Vao,NC,76.73,light rain,-22.6667,167.4833,
485,Manggar,ID,77.81,overcast clouds,-2.8833,108.2667,
493,Guantanamo,CU,85.57,clear sky,20.1444,-75.2092,
496,Port Keats,AU,83.43,overcast clouds,-14.25,129.55,
500,Hervey Bay,AU,77.11,few clouds,-25.2986,152.8535,
502,Lethem,GY,87.91,overcast clouds,3.3803,-59.7968,
505,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,
509,Paulo Afonso,BR,82.6,overcast clouds,-9.4061,-38.2147,
510,Noumea,NC,80.01,broken clouds,-22.2763,166.4572,
514,Baculin,PH,77.13,broken clouds,7.4525,126.5842,
515,Bubaque,GW,81.1,scattered clouds,11.2833,-15.8333,
519,Makakilo City,US,79.12,scattered clouds,21.3469,-158.0858,
523,Ambilobe,MG,78.12,overcast clouds,-13.2,49.05,
524,Mangai,CD,77.11,overcast clouds,-4.05,19.5333,
527,Gladstone,AU,79.79,light rain,-23.85,151.25,
530,Kieta,PG,81.34,light rain,-6.2167,155.6333,
537,West Bay,KY,86.07,few clouds,19.3667,-81.4167,
538,Port Blair,IN,79.0,overcast clouds,11.6667,92.75,
547,Kyabe,TD,79.25,clear sky,9.4515,18.9449,
549,Pimentel,PE,75.49,broken clouds,-6.8367,-79.9342,
554,Innisfail,AU,80.1,overcast clouds,-17.5333,146.0333,
555,Cockburn Town,TC,79.07,broken clouds,21.4612,-71.1419,
556,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,
560,Eha Amufu,NG,77.23,few clouds,6.6592,7.7596,
565,Riohacha,CO,85.82,broken clouds,11.5444,-72.9072,
569,Hobyo,SO,79.83,overcast clouds,5.3505,48.5268,
575,Idah,NG,79.09,scattered clouds,7.1065,6.7342,
579,Vanimo,PG,77.02,moderate rain,-2.6741,141.3028,
581,Kendari,ID,76.68,overcast clouds,-3.945,122.4989,
586,Eirunepe,BR,82.49,light rain,-6.6603,-69.8736,
588,Wewak,PG,78.53,light rain,-3.5534,143.6268,
592,Marsh Harbour,BS,78.53,clear sky,26.5412,-77.0636,
594,Jacareacanga,BR,75.56,light rain,-6.2222,-57.7528,
600,Rocha,UY,78.55,scattered clouds,-34.4833,-54.3333,
605,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,
612,Tuban,ID,79.92,moderate rain,-6.8976,112.0649,
613,Ouargaye,BF,75.88,clear sky,11.5033,0.0572,
616,Kailua,US,80.58,light rain,21.4022,-157.7394,
622,Katobu,ID,75.88,overcast clouds,-4.9408,122.5276,
625,Bacong,PH,77.29,scattered clouds,9.2464,123.2956,
629,Rio De Jesus,PA,82.22,scattered clouds,7.9844,-81.1631,
630,Martapura,ID,75.29,broken clouds,-3.4167,114.85,
632,Lorengau,PG,81.77,scattered clouds,-2.0226,147.2712,
634,Calama,CL,75.69,overcast clouds,-22.4667,-68.9333,
635,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,
640,Daru,PG,79.99,overcast clouds,-9.0763,143.2092,
646,Trinidad,BO,75.18,light rain,-14.8333,-64.9,
661,Prainha,BR,83.26,moderate rain,-1.8,-53.48,
662,Siocon,PH,78.15,overcast clouds,7.7061,122.1353,
664,Angoche,MZ,77.13,moderate rain,-16.2325,39.9086,
670,Lajas,PR,83.19,overcast clouds,18.05,-67.0593,
680,Fuerte Olimpo,PY,88.39,moderate rain,-21.0415,-57.8738,
686,Minas,UY,83.52,clear sky,-34.3759,-55.2377,
690,Kudahuvadhoo,MV,82.0,overcast clouds,2.6708,72.8944,
691,Uarini,BR,82.35,overcast clouds,-2.99,-65.1083,
692,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,
693,Conde,BR,80.06,few clouds,-7.2597,-34.9075,
